nohup: ignoring input
[303] bbox_docvqa_id=304 images=138/138 error=True
[183] bbox_docvqa_id=184 images=5/5 error=False
[304] bbox_docvqa_id=305 images=138/138 error=True
[88] bbox_docvqa_id=89 images=18/18 error=False
[305] bbox_docvqa_id=306 images=138/138 error=True
[306] bbox_docvqa_id=307 images=138/138 error=True
[184] bbox_docvqa_id=185 images=5/5 error=False
[122] bbox_docvqa_id=123 images=32/32 error=False
[307] bbox_docvqa_id=308 images=7/7 error=False
[185] bbox_docvqa_id=186 images=5/5 error=False
[64] bbox_docvqa_id=65 images=52/52 error=True
[152] bbox_docvqa_id=153 images=10/10 error=True
[308] bbox_docvqa_id=309 images=7/7 error=False
[186] bbox_docvqa_id=187 images=5/5 error=False
[123] bbox_docvqa_id=124 images=32/32 error=False
[309] bbox_docvqa_id=310 images=7/7 error=False
[310] bbox_docvqa_id=311 images=7/7 error=False
[187] bbox_docvqa_id=188 images=5/5 error=False
[311] bbox_docvqa_id=312 images=7/7 error=False
[312] bbox_docvqa_id=313 images=7/7 error=False
[188] bbox_docvqa_id=189 images=5/5 error=False
[313] bbox_docvqa_id=314 images=7/7 error=False
[124] bbox_docvqa_id=125 images=32/32 error=False
[46] bbox_docvqa_id=47 images=11/11 error=False
[314] bbox_docvqa_id=315 images=22/22 error=True
[189] bbox_docvqa_id=190 images=5/5 error=False
[315] bbox_docvqa_id=316 images=22/22 error=True
[65] bbox_docvqa_id=66 images=52/52 error=True
[190] bbox_docvqa_id=191 images=69/69 error=True
[89] bbox_docvqa_id=90 images=18/18 error=False
[191] bbox_docvqa_id=192 images=69/69 error=True
[192] bbox_docvqa_id=193 images=69/69 error=True
[316] bbox_docvqa_id=317 images=22/22 error=True
[193] bbox_docvqa_id=194 images=69/69 error=True
[194] bbox_docvqa_id=195 images=69/69 error=True
[195] bbox_docvqa_id=196 images=69/69 error=True
[317] bbox_docvqa_id=318 images=22/22 error=True
[196] bbox_docvqa_id=197 images=69/69 error=True
[197] bbox_docvqa_id=198 images=69/69 error=True
[125] bbox_docvqa_id=126 images=32/32 error=False
[198] bbox_docvqa_id=199 images=69/69 error=True
[318] bbox_docvqa_id=319 images=22/22 error=True
[199] bbox_docvqa_id=200 images=69/69 error=True
[319] bbox_docvqa_id=320 images=22/22 error=True
[200] bbox_docvqa_id=201 images=21/21 error=True
[201] bbox_docvqa_id=202 images=21/21 error=True
[320] bbox_docvqa_id=321 images=22/22 error=True
[202] bbox_docvqa_id=203 images=21/21 error=True
[203] bbox_docvqa_id=204 images=21/21 error=True
[126] bbox_docvqa_id=127 images=32/32 error=False
[321] bbox_docvqa_id=322 images=22/22 error=True
[204] bbox_docvqa_id=205 images=21/21 error=True
[66] bbox_docvqa_id=67 images=52/52 error=True
[205] bbox_docvqa_id=206 images=21/21 error=True
[322] bbox_docvqa_id=323 images=22/22 error=True
[206] bbox_docvqa_id=207 images=21/21 error=True
[323] bbox_docvqa_id=324 images=22/22 error=True
[207] bbox_docvqa_id=208 images=21/21 error=True
[208] bbox_docvqa_id=209 images=21/21 error=True
[209] bbox_docvqa_id=210 images=21/21 error=True
[324] bbox_docvqa_id=325 images=44/44 error=True
[127] bbox_docvqa_id=128 images=32/32 error=False
[90] bbox_docvqa_id=91 images=24/24 error=False
[325] bbox_docvqa_id=326 images=44/44 error=True
[91] bbox_docvqa_id=92 images=24/24 error=False
[326] bbox_docvqa_id=327 images=44/44 error=True
[128] bbox_docvqa_id=129 images=32/32 error=False
[327] bbox_docvqa_id=328 images=44/44 error=True
[67] bbox_docvqa_id=68 images=52/52 error=True
[153] bbox_docvqa_id=154 images=10/10 error=False
[92] bbox_docvqa_id=93 images=24/24 error=False
[328] bbox_docvqa_id=329 images=44/44 error=True
[47] bbox_docvqa_id=48 images=11/11 error=False
[329] bbox_docvqa_id=330 images=44/44 error=True
[129] bbox_docvqa_id=130 images=32/32 error=False
[93] bbox_docvqa_id=94 images=24/24 error=False
[330] bbox_docvqa_id=331 images=44/44 error=True
[210] bbox_docvqa_id=211 images=7/7 error=False
[130] bbox_docvqa_id=131 images=9/9 error=False
[331] bbox_docvqa_id=332 images=44/44 error=True
[94] bbox_docvqa_id=95 images=24/24 error=False
[68] bbox_docvqa_id=69 images=52/52 error=True
[332] bbox_docvqa_id=333 images=44/44 error=True
[131] bbox_docvqa_id=132 images=9/9 error=False
[333] bbox_docvqa_id=334 images=44/44 error=True
[95] bbox_docvqa_id=96 images=24/24 error=False
[334] bbox_docvqa_id=335 images=18/18 error=True
[132] bbox_docvqa_id=133 images=9/9 error=False
[335] bbox_docvqa_id=336 images=18/18 error=True
[336] bbox_docvqa_id=337 images=18/18 error=True
[96] bbox_docvqa_id=97 images=24/24 error=False
[133] bbox_docvqa_id=134 images=9/9 error=False
[337] bbox_docvqa_id=338 images=18/18 error=True
[338] bbox_docvqa_id=339 images=18/18 error=True
[211] bbox_docvqa_id=212 images=7/7 error=False
[134] bbox_docvqa_id=135 images=9/9 error=False
[339] bbox_docvqa_id=340 images=18/18 error=True
[69] bbox_docvqa_id=70 images=52/52 error=True
[97] bbox_docvqa_id=98 images=24/24 error=False
[340] bbox_docvqa_id=341 images=18/18 error=True
[341] bbox_docvqa_id=342 images=18/18 error=True
[135] bbox_docvqa_id=136 images=9/9 error=False
[342] bbox_docvqa_id=343 images=18/18 error=True
[212] bbox_docvqa_id=213 images=7/7 error=False
[343] bbox_docvqa_id=344 images=18/18 error=True
[98] bbox_docvqa_id=99 images=24/24 error=False
[136] bbox_docvqa_id=137 images=9/9 error=False
[154] bbox_docvqa_id=155 images=10/10 error=True
[344] bbox_docvqa_id=345 images=17/17 error=True
[345] bbox_docvqa_id=346 images=17/17 error=True
[213] bbox_docvqa_id=214 images=7/7 error=False
[137] bbox_docvqa_id=138 images=9/9 error=False
[346] bbox_docvqa_id=347 images=17/17 error=True
[99] bbox_docvqa_id=100 images=24/24 error=False
[347] bbox_docvqa_id=348 images=17/17 error=True
[138] bbox_docvqa_id=139 images=9/9 error=False
[348] bbox_docvqa_id=349 images=17/17 error=True
[349] bbox_docvqa_id=350 images=17/17 error=True
[139] bbox_docvqa_id=140 images=9/9 error=False
[350] bbox_docvqa_id=351 images=17/17 error=True
[351] bbox_docvqa_id=352 images=17/17 error=True
[100] bbox_docvqa_id=101 images=8/8 error=False
[352] bbox_docvqa_id=353 images=17/17 error=True
[353] bbox_docvqa_id=354 images=17/17 error=True
[101] bbox_docvqa_id=102 images=8/8 error=False
[102] bbox_docvqa_id=103 images=8/8 error=False
[140] bbox_docvqa_id=141 images=21/21 error=False
[354] bbox_docvqa_id=355 images=7/7 error=False
[103] bbox_docvqa_id=104 images=8/8 error=False
[48] bbox_docvqa_id=49 images=11/11 error=False
[355] bbox_docvqa_id=356 images=7/7 error=False
[356] bbox_docvqa_id=357 images=7/7 error=False
[141] bbox_docvqa_id=142 images=21/21 error=False
[357] bbox_docvqa_id=358 images=7/7 error=False
[104] bbox_docvqa_id=105 images=8/8 error=False
[214] bbox_docvqa_id=215 images=7/7 error=False
[105] bbox_docvqa_id=106 images=8/8 error=False
[358] bbox_docvqa_id=359 images=7/7 error=False
[215] bbox_docvqa_id=216 images=7/7 error=False
[359] bbox_docvqa_id=360 images=7/7 error=False
[142] bbox_docvqa_id=143 images=21/21 error=False
[360] bbox_docvqa_id=361 images=7/7 error=False
[70] bbox_docvqa_id=71 images=45/45 error=False
[361] bbox_docvqa_id=362 images=7/7 error=False
[106] bbox_docvqa_id=107 images=8/8 error=False
[362] bbox_docvqa_id=363 images=7/7 error=False
[143] bbox_docvqa_id=144 images=21/21 error=False
[363] bbox_docvqa_id=364 images=7/7 error=False
[107] bbox_docvqa_id=108 images=8/8 error=False
[216] bbox_docvqa_id=217 images=7/7 error=False
[108] bbox_docvqa_id=109 images=8/8 error=False
[144] bbox_docvqa_id=145 images=21/21 error=False
[364] bbox_docvqa_id=365 images=5/5 error=False
[109] bbox_docvqa_id=110 images=8/8 error=False
[365] bbox_docvqa_id=366 images=20/20 error=True
[366] bbox_docvqa_id=367 images=20/20 error=True
[155] bbox_docvqa_id=156 images=10/10 error=False
[145] bbox_docvqa_id=146 images=21/21 error=False
[217] bbox_docvqa_id=218 images=7/7 error=False
[367] bbox_docvqa_id=368 images=20/20 error=True
[368] bbox_docvqa_id=369 images=20/20 error=True
[369] bbox_docvqa_id=370 images=20/20 error=True
[146] bbox_docvqa_id=147 images=21/21 error=False
[370] bbox_docvqa_id=371 images=20/20 error=True
[147] bbox_docvqa_id=148 images=21/21 error=False
[371] bbox_docvqa_id=372 images=20/20 error=True
[49] bbox_docvqa_id=50 images=11/11 error=False
[372] bbox_docvqa_id=373 images=20/20 error=True
[218] bbox_docvqa_id=219 images=7/7 error=False
[110] bbox_docvqa_id=111 images=18/18 error=False
[50] bbox_docvqa_id=51 images=19/19 error=True
[51] bbox_docvqa_id=52 images=19/19 error=True
[373] bbox_docvqa_id=374 images=20/20 error=True
[52] bbox_docvqa_id=53 images=19/19 error=True
[374] bbox_docvqa_id=375 images=20/20 error=True
[148] bbox_docvqa_id=149 images=21/21 error=False
[53] bbox_docvqa_id=54 images=19/19 error=True
[54] bbox_docvqa_id=55 images=19/19 error=True
[111] bbox_docvqa_id=112 images=18/18 error=False
[375] bbox_docvqa_id=376 images=44/44 error=True
[55] bbox_docvqa_id=56 images=19/19 error=True
[56] bbox_docvqa_id=57 images=19/19 error=True
[219] bbox_docvqa_id=220 images=7/7 error=False
[376] bbox_docvqa_id=377 images=44/44 error=True
[57] bbox_docvqa_id=58 images=19/19 error=True
[149] bbox_docvqa_id=150 images=21/21 error=False
[220] bbox_docvqa_id=221 images=16/16 error=True
[58] bbox_docvqa_id=59 images=19/19 error=True
[59] bbox_docvqa_id=60 images=19/19 error=True
[377] bbox_docvqa_id=378 images=44/44 error=True
[112] bbox_docvqa_id=113 images=18/18 error=False
[71] bbox_docvqa_id=72 images=45/45 error=False
[221] bbox_docvqa_id=222 images=16/16 error=True
[60] bbox_docvqa_id=61 images=52/52 error=True
[222] bbox_docvqa_id=223 images=16/16 error=True
[378] bbox_docvqa_id=379 images=44/44 error=True
[61] bbox_docvqa_id=62 images=52/52 error=True
[62] bbox_docvqa_id=63 images=52/52 error=True
[223] bbox_docvqa_id=224 images=16/16 error=True
[113] bbox_docvqa_id=114 images=18/18 error=False
[379] bbox_docvqa_id=380 images=44/44 error=True
[63] bbox_docvqa_id=64 images=52/52 error=True
[150] bbox_docvqa_id=151 images=10/10 error=False
[64] bbox_docvqa_id=65 images=52/52 error=True
[224] bbox_docvqa_id=225 images=16/16 error=True
[65] bbox_docvqa_id=66 images=52/52 error=True
[225] bbox_docvqa_id=226 images=16/16 error=True
[66] bbox_docvqa_id=67 images=52/52 error=True
[226] bbox_docvqa_id=227 images=16/16 error=True
[67] bbox_docvqa_id=68 images=52/52 error=True
[380] bbox_docvqa_id=381 images=44/44 error=True
[114] bbox_docvqa_id=115 images=18/18 error=False
[151] bbox_docvqa_id=152 images=10/10 error=False
[68] bbox_docvqa_id=69 images=52/52 error=True
[227] bbox_docvqa_id=228 images=16/16 error=True
[381] bbox_docvqa_id=382 images=18/18 error=True
[69] bbox_docvqa_id=70 images=52/52 error=True
[382] bbox_docvqa_id=383 images=18/18 error=True
[228] bbox_docvqa_id=229 images=16/16 error=True
[70] bbox_docvqa_id=71 images=45/45 error=True
[156] bbox_docvqa_id=157 images=10/10 error=True
[71] bbox_docvqa_id=72 images=45/45 error=True
[229] bbox_docvqa_id=230 images=16/16 error=True
[383] bbox_docvqa_id=384 images=18/18 error=True
[152] bbox_docvqa_id=153 images=10/10 error=False
[115] bbox_docvqa_id=116 images=18/18 error=False
[72] bbox_docvqa_id=73 images=45/45 error=True
[384] bbox_docvqa_id=385 images=18/18 error=True
[73] bbox_docvqa_id=74 images=45/45 error=True
[385] bbox_docvqa_id=386 images=18/18 error=True
[74] bbox_docvqa_id=75 images=45/45 error=True
[75] bbox_docvqa_id=76 images=45/45 error=True
[386] bbox_docvqa_id=387 images=18/18 error=True
[153] bbox_docvqa_id=154 images=10/10 error=False
[76] bbox_docvqa_id=77 images=45/45 error=True
[116] bbox_docvqa_id=117 images=18/18 error=False
[77] bbox_docvqa_id=78 images=45/45 error=True
[387] bbox_docvqa_id=388 images=18/18 error=True
[78] bbox_docvqa_id=79 images=45/45 error=True
[388] bbox_docvqa_id=389 images=18/18 error=True
[79] bbox_docvqa_id=80 images=45/45 error=True
[80] bbox_docvqa_id=81 images=18/18 error=True
[389] bbox_docvqa_id=390 images=18/18 error=True
[117] bbox_docvqa_id=118 images=18/18 error=False
[81] bbox_docvqa_id=82 images=18/18 error=True
[154] bbox_docvqa_id=155 images=10/10 error=False
[390] bbox_docvqa_id=391 images=18/18 error=True
[82] bbox_docvqa_id=83 images=18/18 error=True
[83] bbox_docvqa_id=84 images=18/18 error=True
[84] bbox_docvqa_id=85 images=18/18 error=True
[391] bbox_docvqa_id=392 images=40/40 error=True
[85] bbox_docvqa_id=86 images=18/18 error=True
[118] bbox_docvqa_id=119 images=18/18 error=False
[155] bbox_docvqa_id=156 images=10/10 error=False
[86] bbox_docvqa_id=87 images=18/18 error=True
[87] bbox_docvqa_id=88 images=18/18 error=True
[88] bbox_docvqa_id=89 images=18/18 error=True
[392] bbox_docvqa_id=393 images=40/40 error=True
[89] bbox_docvqa_id=90 images=18/18 error=True
[119] bbox_docvqa_id=120 images=18/18 error=False
[90] bbox_docvqa_id=91 images=24/24 error=True
[393] bbox_docvqa_id=394 images=40/40 error=True
[156] bbox_docvqa_id=157 images=10/10 error=False
[230] bbox_docvqa_id=231 images=6/6 error=False
[91] bbox_docvqa_id=92 images=24/24 error=True
[92] bbox_docvqa_id=93 images=24/24 error=True
[394] bbox_docvqa_id=395 images=40/40 error=True
[93] bbox_docvqa_id=94 images=24/24 error=True
[157] bbox_docvqa_id=158 images=10/10 error=False
[94] bbox_docvqa_id=95 images=24/24 error=True
[395] bbox_docvqa_id=396 images=40/40 error=True
[72] bbox_docvqa_id=73 images=45/45 error=False
[95] bbox_docvqa_id=96 images=24/24 error=True
[96] bbox_docvqa_id=97 images=24/24 error=True
[157] bbox_docvqa_id=158 images=10/10 error=False
[396] bbox_docvqa_id=397 images=40/40 error=True
[97] bbox_docvqa_id=98 images=24/24 error=True
[98] bbox_docvqa_id=99 images=24/24 error=True
[158] bbox_docvqa_id=159 images=10/10 error=False
[397] bbox_docvqa_id=398 images=40/40 error=True
[99] bbox_docvqa_id=100 images=24/24 error=True
[158] bbox_docvqa_id=159 images=10/10 error=False
[398] bbox_docvqa_id=399 images=40/40 error=True
[399] bbox_docvqa_id=400 images=40/40 error=True
[159] bbox_docvqa_id=160 images=10/10 error=False
[400] bbox_docvqa_id=401 images=40/40 error=True
[401] bbox_docvqa_id=402 images=14/14 error=True
[402] bbox_docvqa_id=403 images=14/14 error=True
[231] bbox_docvqa_id=232 images=6/6 error=False
[403] bbox_docvqa_id=404 images=14/14 error=True
[404] bbox_docvqa_id=405 images=14/14 error=True
[405] bbox_docvqa_id=406 images=14/14 error=True
[406] bbox_docvqa_id=407 images=14/14 error=True
[232] bbox_docvqa_id=233 images=6/6 error=False
[407] bbox_docvqa_id=408 images=14/14 error=True
[160] bbox_docvqa_id=161 images=22/22 error=False
[408] bbox_docvqa_id=409 images=14/14 error=True
[409] bbox_docvqa_id=410 images=14/14 error=True
[233] bbox_docvqa_id=234 images=6/6 error=False
[410] bbox_docvqa_id=411 images=14/14 error=True
[411] bbox_docvqa_id=412 images=30/30 error=True
[161] bbox_docvqa_id=162 images=22/22 error=False
[234] bbox_docvqa_id=235 images=6/6 error=False
[120] bbox_docvqa_id=121 images=32/32 error=False
[412] bbox_docvqa_id=413 images=30/30 error=True
[159] bbox_docvqa_id=160 images=10/10 error=False
[100] bbox_docvqa_id=101 images=8/8 error=False
[413] bbox_docvqa_id=414 images=30/30 error=True
[235] bbox_docvqa_id=236 images=6/6 error=False
[160] bbox_docvqa_id=161 images=22/22 error=True
[121] bbox_docvqa_id=122 images=32/32 error=False
[162] bbox_docvqa_id=163 images=22/22 error=False
[414] bbox_docvqa_id=415 images=30/30 error=True
[415] bbox_docvqa_id=416 images=30/30 error=True
[161] bbox_docvqa_id=162 images=22/22 error=True
[73] bbox_docvqa_id=74 images=45/45 error=False
[416] bbox_docvqa_id=417 images=30/30 error=True
[163] bbox_docvqa_id=164 images=22/22 error=False
[162] bbox_docvqa_id=163 images=22/22 error=True
[417] bbox_docvqa_id=418 images=30/30 error=True
[418] bbox_docvqa_id=419 images=30/30 error=True
[163] bbox_docvqa_id=164 images=22/22 error=True
[236] bbox_docvqa_id=237 images=6/6 error=False
[164] bbox_docvqa_id=165 images=22/22 error=False
[419] bbox_docvqa_id=420 images=30/30 error=True
[237] bbox_docvqa_id=238 images=6/6 error=False
[164] bbox_docvqa_id=165 images=22/22 error=True
[101] bbox_docvqa_id=102 images=8/8 error=False
[420] bbox_docvqa_id=421 images=30/30 error=True
[421] bbox_docvqa_id=422 images=13/13 error=True
[422] bbox_docvqa_id=423 images=13/13 error=True
[423] bbox_docvqa_id=424 images=13/13 error=True
[165] bbox_docvqa_id=166 images=22/22 error=True
[165] bbox_docvqa_id=166 images=22/22 error=False
[424] bbox_docvqa_id=425 images=13/13 error=True
[122] bbox_docvqa_id=123 images=32/32 error=False
[238] bbox_docvqa_id=239 images=6/6 error=False
[425] bbox_docvqa_id=426 images=13/13 error=True
[426] bbox_docvqa_id=427 images=13/13 error=True
[166] bbox_docvqa_id=167 images=22/22 error=True
[427] bbox_docvqa_id=428 images=13/13 error=True
[428] bbox_docvqa_id=429 images=13/13 error=True
[239] bbox_docvqa_id=240 images=6/6 error=False
[429] bbox_docvqa_id=430 images=13/13 error=True
[123] bbox_docvqa_id=124 images=32/32 error=False
[240] bbox_docvqa_id=241 images=11/11 error=True
[430] bbox_docvqa_id=431 images=13/13 error=True
[167] bbox_docvqa_id=168 images=22/22 error=True
[166] bbox_docvqa_id=167 images=22/22 error=False
[241] bbox_docvqa_id=242 images=11/11 error=True
[242] bbox_docvqa_id=243 images=11/11 error=True
[431] bbox_docvqa_id=432 images=24/24 error=True
[243] bbox_docvqa_id=244 images=11/11 error=True
[244] bbox_docvqa_id=245 images=11/11 error=True
[168] bbox_docvqa_id=169 images=22/22 error=True
[245] bbox_docvqa_id=246 images=11/11 error=True
[124] bbox_docvqa_id=125 images=32/32 error=False
[432] bbox_docvqa_id=433 images=24/24 error=True
[246] bbox_docvqa_id=247 images=11/11 error=True
[247] bbox_docvqa_id=248 images=11/11 error=True
[248] bbox_docvqa_id=249 images=11/11 error=True
[167] bbox_docvqa_id=168 images=22/22 error=False
[249] bbox_docvqa_id=250 images=11/11 error=True
[433] bbox_docvqa_id=434 images=24/24 error=True
[169] bbox_docvqa_id=170 images=22/22 error=True
[125] bbox_docvqa_id=126 images=32/32 error=False
[250] bbox_docvqa_id=251 images=17/17 error=True
[434] bbox_docvqa_id=435 images=24/24 error=True
[251] bbox_docvqa_id=252 images=17/17 error=True
[102] bbox_docvqa_id=103 images=8/8 error=False
[252] bbox_docvqa_id=253 images=17/17 error=True
[435] bbox_docvqa_id=436 images=24/24 error=True
[168] bbox_docvqa_id=169 images=22/22 error=False
[74] bbox_docvqa_id=75 images=45/45 error=False
[126] bbox_docvqa_id=127 images=32/32 error=False
[253] bbox_docvqa_id=254 images=17/17 error=True
[170] bbox_docvqa_id=171 images=5/5 error=False
[436] bbox_docvqa_id=437 images=24/24 error=True
[254] bbox_docvqa_id=255 images=17/17 error=True
[437] bbox_docvqa_id=438 images=24/24 error=True
[255] bbox_docvqa_id=256 images=17/17 error=True
[127] bbox_docvqa_id=128 images=32/32 error=False
[256] bbox_docvqa_id=257 images=17/17 error=True
[169] bbox_docvqa_id=170 images=22/22 error=False
[438] bbox_docvqa_id=439 images=24/24 error=True
[257] bbox_docvqa_id=258 images=17/17 error=True
[171] bbox_docvqa_id=172 images=5/5 error=False
[170] bbox_docvqa_id=171 images=5/5 error=False
[439] bbox_docvqa_id=440 images=24/24 error=True
[258] bbox_docvqa_id=259 images=17/17 error=True
[171] bbox_docvqa_id=172 images=5/5 error=False
[128] bbox_docvqa_id=129 images=32/32 error=False
[259] bbox_docvqa_id=260 images=17/17 error=True
[440] bbox_docvqa_id=441 images=24/24 error=True
[172] bbox_docvqa_id=173 images=5/5 error=False
[172] bbox_docvqa_id=173 images=5/5 error=False
[441] bbox_docvqa_id=442 images=4/4 error=False
[173] bbox_docvqa_id=174 images=5/5 error=False
[174] bbox_docvqa_id=175 images=5/5 error=False
[442] bbox_docvqa_id=443 images=4/4 error=False
[443] bbox_docvqa_id=444 images=4/4 error=False
[175] bbox_docvqa_id=176 images=5/5 error=False
[444] bbox_docvqa_id=445 images=4/4 error=False
[445] bbox_docvqa_id=446 images=4/4 error=False
[176] bbox_docvqa_id=177 images=5/5 error=False
[129] bbox_docvqa_id=130 images=32/32 error=False
[173] bbox_docvqa_id=174 images=5/5 error=False
[260] bbox_docvqa_id=261 images=5/5 error=False
[177] bbox_docvqa_id=178 images=5/5 error=False
[446] bbox_docvqa_id=447 images=4/4 error=False
[447] bbox_docvqa_id=448 images=4/4 error=False
[448] bbox_docvqa_id=449 images=4/4 error=False
[178] bbox_docvqa_id=179 images=5/5 error=False
[449] bbox_docvqa_id=450 images=4/4 error=False
[103] bbox_docvqa_id=104 images=8/8 error=False
[450] bbox_docvqa_id=451 images=4/4 error=False
[179] bbox_docvqa_id=180 images=5/5 error=False
[130] bbox_docvqa_id=131 images=9/9 error=False
[75] bbox_docvqa_id=76 images=45/45 error=False
[174] bbox_docvqa_id=175 images=5/5 error=False
[131] bbox_docvqa_id=132 images=9/9 error=False
[180] bbox_docvqa_id=181 images=5/5 error=False
[261] bbox_docvqa_id=262 images=5/5 error=False
[181] bbox_docvqa_id=182 images=5/5 error=False
[132] bbox_docvqa_id=133 images=9/9 error=False
[133] bbox_docvqa_id=134 images=9/9 error=False
[182] bbox_docvqa_id=183 images=5/5 error=False
[175] bbox_docvqa_id=176 images=5/5 error=False
[451] bbox_docvqa_id=452 images=9/9 error=False
[134] bbox_docvqa_id=135 images=9/9 error=False
[183] bbox_docvqa_id=184 images=5/5 error=False
[452] bbox_docvqa_id=453 images=9/9 error=False
[135] bbox_docvqa_id=136 images=9/9 error=False
[184] bbox_docvqa_id=185 images=5/5 error=False
[453] bbox_docvqa_id=454 images=9/9 error=False
[136] bbox_docvqa_id=137 images=9/9 error=False
[185] bbox_docvqa_id=186 images=5/5 error=False
[176] bbox_docvqa_id=177 images=5/5 error=False
[262] bbox_docvqa_id=263 images=5/5 error=False
[137] bbox_docvqa_id=138 images=9/9 error=False
[186] bbox_docvqa_id=187 images=5/5 error=False
[177] bbox_docvqa_id=178 images=5/5 error=False
[187] bbox_docvqa_id=188 images=5/5 error=False
[138] bbox_docvqa_id=139 images=9/9 error=False
[263] bbox_docvqa_id=264 images=5/5 error=False
[454] bbox_docvqa_id=455 images=9/9 error=False
[188] bbox_docvqa_id=189 images=5/5 error=False
[139] bbox_docvqa_id=140 images=9/9 error=False
[455] bbox_docvqa_id=456 images=9/9 error=False
[189] bbox_docvqa_id=190 images=5/5 error=False
[190] bbox_docvqa_id=191 images=69/69 error=True
[178] bbox_docvqa_id=179 images=5/5 error=False
[191] bbox_docvqa_id=192 images=69/69 error=True
[456] bbox_docvqa_id=457 images=9/9 error=False
[192] bbox_docvqa_id=193 images=69/69 error=True
[193] bbox_docvqa_id=194 images=69/69 error=True
[194] bbox_docvqa_id=195 images=69/69 error=True
[195] bbox_docvqa_id=196 images=69/69 error=True
[196] bbox_docvqa_id=197 images=69/69 error=True
[457] bbox_docvqa_id=458 images=9/9 error=False
[197] bbox_docvqa_id=198 images=69/69 error=True
[198] bbox_docvqa_id=199 images=69/69 error=True
[199] bbox_docvqa_id=200 images=69/69 error=True
[76] bbox_docvqa_id=77 images=45/45 error=False
[458] bbox_docvqa_id=459 images=9/9 error=False
[459] bbox_docvqa_id=460 images=9/9 error=False
[104] bbox_docvqa_id=105 images=8/8 error=False
[179] bbox_docvqa_id=180 images=5/5 error=False
[264] bbox_docvqa_id=265 images=5/5 error=False
[460] bbox_docvqa_id=461 images=9/9 error=False
[200] bbox_docvqa_id=201 images=21/21 error=False
[140] bbox_docvqa_id=141 images=21/21 error=False
[265] bbox_docvqa_id=266 images=5/5 error=False
[461] bbox_docvqa_id=462 images=20/20 error=True
[266] bbox_docvqa_id=267 images=5/5 error=False
[201] bbox_docvqa_id=202 images=21/21 error=False
[180] bbox_docvqa_id=181 images=5/5 error=False
[462] bbox_docvqa_id=463 images=20/20 error=True
[202] bbox_docvqa_id=203 images=21/21 error=False
[463] bbox_docvqa_id=464 images=20/20 error=True
[141] bbox_docvqa_id=142 images=21/21 error=False
[267] bbox_docvqa_id=268 images=5/5 error=False
[464] bbox_docvqa_id=465 images=20/20 error=True
[268] bbox_docvqa_id=269 images=5/5 error=False
[142] bbox_docvqa_id=143 images=21/21 error=False
[203] bbox_docvqa_id=204 images=21/21 error=False
[181] bbox_docvqa_id=182 images=5/5 error=False
[465] bbox_docvqa_id=466 images=20/20 error=True
[143] bbox_docvqa_id=144 images=21/21 error=False
[204] bbox_docvqa_id=205 images=21/21 error=False
[466] bbox_docvqa_id=467 images=20/20 error=True
[144] bbox_docvqa_id=145 images=21/21 error=False
[205] bbox_docvqa_id=206 images=21/21 error=False
[467] bbox_docvqa_id=468 images=20/20 error=True
[182] bbox_docvqa_id=183 images=5/5 error=False
[269] bbox_docvqa_id=270 images=5/5 error=False
[145] bbox_docvqa_id=146 images=21/21 error=False
[468] bbox_docvqa_id=469 images=20/20 error=True
[206] bbox_docvqa_id=207 images=21/21 error=False
[77] bbox_docvqa_id=78 images=45/45 error=False
[469] bbox_docvqa_id=470 images=20/20 error=True
[207] bbox_docvqa_id=208 images=21/21 error=False
[270] bbox_docvqa_id=271 images=5/5 error=False
[470] bbox_docvqa_id=471 images=20/20 error=True
[183] bbox_docvqa_id=184 images=5/5 error=False
[208] bbox_docvqa_id=209 images=21/21 error=False
[146] bbox_docvqa_id=147 images=21/21 error=False
[209] bbox_docvqa_id=210 images=21/21 error=False
[471] bbox_docvqa_id=472 images=8/8 error=False
[184] bbox_docvqa_id=185 images=5/5 error=False
[271] bbox_docvqa_id=272 images=5/5 error=False
[147] bbox_docvqa_id=148 images=21/21 error=False
[210] bbox_docvqa_id=211 images=7/7 error=False
[148] bbox_docvqa_id=149 images=21/21 error=False
[211] bbox_docvqa_id=212 images=7/7 error=False
[272] bbox_docvqa_id=273 images=5/5 error=False
[472] bbox_docvqa_id=473 images=8/8 error=False
[212] bbox_docvqa_id=213 images=7/7 error=False
[149] bbox_docvqa_id=150 images=21/21 error=False
[185] bbox_docvqa_id=186 images=5/5 error=False
[473] bbox_docvqa_id=474 images=8/8 error=False
[213] bbox_docvqa_id=214 images=7/7 error=False
[474] bbox_docvqa_id=475 images=8/8 error=False
[214] bbox_docvqa_id=215 images=7/7 error=False
[475] bbox_docvqa_id=476 images=8/8 error=False
[476] bbox_docvqa_id=477 images=8/8 error=False
[273] bbox_docvqa_id=274 images=5/5 error=False
[215] bbox_docvqa_id=216 images=7/7 error=False
[186] bbox_docvqa_id=187 images=5/5 error=False
[150] bbox_docvqa_id=151 images=10/10 error=False
[477] bbox_docvqa_id=478 images=8/8 error=False
[216] bbox_docvqa_id=217 images=7/7 error=False
[478] bbox_docvqa_id=479 images=8/8 error=False
[151] bbox_docvqa_id=152 images=10/10 error=False
[78] bbox_docvqa_id=79 images=45/45 error=False
[274] bbox_docvqa_id=275 images=5/5 error=False
[479] bbox_docvqa_id=480 images=8/8 error=False
[217] bbox_docvqa_id=218 images=7/7 error=False
